parsed 130 topic files, 1401 mermaid diagrams
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:375 is punctuation only ('));')
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :47 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :165 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :147 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :121 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :141 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :171 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :240 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :215 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :210 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :245 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :264 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :288 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :351 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :335 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.8 — bare :338 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.9 — bare :55 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.10 — bare :202 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.10 — ../project/agentbox/management-api/lib/system-manifest.js:26 is blank
  ! estate/09-build-deploy-and-ci-estate.md:ES-09.16 — ../project/agentbox/.github/workflows/contract-tests.yml:51 is blank
  ! estate/10-deployment-and-security-profiles.md:ES-10.1 — ../project/src/config/security_profile.rs:55 is blank
  ! estate/10-deployment-and-security-profiles.md:ES-10.2 — ../project/src/main.rs:713 is punctuation only (');')
  ! estate/10-deployment-and-security-profiles.md:ES-10.2 — ../project/src/main.rs:749 is punctuation only ('};')
  ! estate/10-deployment-and-security-profiles.md:ES-10.2 — ../project/src/main.rs:878 is blank
  ! estate/10-deployment-and-security-profiles.md:ES-10.3 — ../project/src/main.rs:749 is punctuation only ('};')
  ! estate/10-deployment-and-security-profiles.md:ES-10.4 — ../project/src/main.rs:749 is punctuation only ('};')
  ! estate/10-deployment-and-security-profiles.md:ES-10.4 — ../project/src/middleware/rbac_gate.rs:422 past EOF (file has 391 lines)
  ! estate/10-deployment-and-security-profiles.md:ES-10.5 — ../project/src/middleware/rbac_gate.rs:131 is punctuation only ('})')
  ! estate/10-deployment-and-security-profiles.md:ES-10.7 — bare :79 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.7 — bare :120 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.7 — bare :422 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.7 — ../project/src/main.rs:878 is blank
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :9096 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :8443 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :8444 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :5903 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :8931 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :9222 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :5905 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :9876 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :9877 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — bare :5904 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — ../project/agentbox/flake.nix:9095 past EOF (file has 3837 lines)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — ../project/agentbox/flake.nix:9096 past EOF (file has 3837 lines)
  ! estate/10-deployment-and-security-profiles.md:ES-10.8 — ../project/agentbox/scripts/ci/check-ports-loopback.mjs:9096 past EOF (file has 1113 lines)
  ! estate/10-deployment-and-security-profiles.md:ES-10.9 — bare :3001 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.9 — bare :4000 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/10-deployment-and-security-profiles.md:ES-10.9 — bare :3001 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/11-publishing-axis.md:ES-11.1 — ../visionGraph/.github/workflows/publish.yml:280 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.1 — ../project/src/services/ontology_pull.rs:290 is punctuation only ('}')
  ! estate/11-publishing-axis.md:ES-11.1 — ../visionGraph/.github/workflows/publish.yml:283 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.1 — ../visionGraph/.github/workflows/publish.yml:284 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:269 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:270 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:272 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:275 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:280 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:283 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:284 past EOF (file has 261 lines)
  ! estate/11-publishing-axis.md:ES-11.2 — ../visionGraph/.github/workflows/publish.yml:282 past EOF (file has 261 lines)
  ! knowledgegraph/04-explorer-and-site-build.md:KG-04.6 — ../visionGraph/.github/workflows/publish.yml:279 past EOF (file has 261 lines)
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.4 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:466 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.4 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:478 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.4 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:736 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.4 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:749 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.4 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:798 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.5 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:519 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.6 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:593 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.7 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:609 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.7 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:624 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.7 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:639 is punctuation only (');')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.7 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:873 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.10 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:865 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.10 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:868 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.10 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:917 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.10 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:887 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.11 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:955 is punctuation only ('}')
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.11 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:960 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.12 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:749 is blank
  ! nostr-rust-forum/03-relay-worker-admission-auth-and-trust.md:NF-03.12 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:798 is punctuation only ('}')
  ! nostr-rust-forum/07-search-preview-and-shared-worker-utilities.md:NF-07.6 — ../nostr-rust-forum/crates/nostr-bbs-preview-worker/src/ssrf.rs:0 is blank
  ! nostr-rust-forum/07-search-preview-and-shared-worker-utilities.md:NF-07.6 — ../nostr-rust-forum/crates/nostr-bbs-preview-worker/src/ssrf.rs:240 is blank
  ! nostr-rust-forum/11-relay-durable-object-internals.md:NF-11.3 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:1481 is punctuation only ('}')
  ! nostr-rust-forum/11-relay-durable-object-internals.md:NF-11.9 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/receipts.rs:392 is punctuation only ('}')
  ! nostr-rust-forum/11-relay-durable-object-internals.md:NF-11.11 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/trust_sweep.rs:497 is punctuation only ('}')
  ! nostr-rust-forum/11-relay-durable-object-internals.md:NF-11.14 — ../nostr-rust-forum/crates/nostr-bbs-relay-worker/src/relay_do/nip_handlers.rs:1481 is punctuation only ('}')
  ! visionclaw/01-boot-and-app-state.md:VC-01.2 — ../project/src/main.rs:848 is blank
  ! visionclaw/01-boot-and-app-state.md:VC-01.3 — ../project/src/main.rs:1186 is blank
  ! visionclaw/01-boot-and-app-state.md:VC-01.4 — ../project/src/main.rs:988 is punctuation only ('}')
  ! visionclaw/01-boot-and-app-state.md:VC-01.6 — ../project/src/main.rs:848 is blank
  ! visionclaw/01-boot-and-app-state.md:VC-01.8 — ../project/src/main.rs:1197 is blank
  ! visionclaw/01-boot-and-app-state.md:VC-01.9 — ../project/src/main.rs:1049 is blank
  ! visionclaw/01-boot-and-app-state.md:VC-01.10 — ../project/src/main.rs:1081 is punctuation only (')')
