parsed 29 topic files, 353 mermaid diagrams
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :414 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :415 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :416 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :417 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :418 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :428 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :429 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :430 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :36 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :37 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :38 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :39 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :72 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :4 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :432 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :433 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :434 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :400 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.10 — bare :401 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/22-skills-and-routing.md:AB-22.3 — ../project/agentbox/skills/lint-skills.mjs:329 is blank
  ! agentbox/22-skills-and-routing.md:AB-22.3 — ../project/agentbox/skills/lint-skills.mjs:333 is punctuation only ('}')
  ! agentbox/22-skills-and-routing.md:AB-22.3 — ../project/agentbox/skills/lint-skills.mjs:366 is punctuation only (');')
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:553 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:569 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:597 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:639 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:546 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:605 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:648 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:741 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:749 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:706 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1662 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1665 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1701 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1704 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1701 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1709 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1662 past EOF (file has 386 lines)
  ! agentbox/22-skills-and-routing.md:AB-22.13 — ../project/agentbox/management-api/lib/system-manifest.js:1668 past EOF (file has 386 lines)
  ! agentbox/23-dream-engine.md:AB-23.6 — bare :75 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/23-dream-engine.md:AB-23.6 — bare :76 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/23-dream-engine.md:AB-23.6 — bare :77 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/23-dream-engine.md:AB-23.6 — bare :78 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :7 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :17 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :29 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :39 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :44 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :57 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :62 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — bare :70 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:52 is punctuation only ('}')
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:80 past EOF (file has 55 lines)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:91 past EOF (file has 55 lines)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:117 past EOF (file has 55 lines)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:202 past EOF (file has 55 lines)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:215 past EOF (file has 55 lines)
  ! agentbox/23-dream-engine.md:AB-23.10 — ../project/agentbox/management-api/routes/dream.js:264 past EOF (file has 55 lines)
  ! agentbox/25-ontology-tools-and-governed-writes.md:AB-25.2 — ../project/agentbox/mcp/servers/lib/ontology-retrieval.js:279 is blank
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :78 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :113 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :145 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :168 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :195 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :236 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :259 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :48 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :52 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :23 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :24 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.4 — bare :18 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :34 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :51 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :56 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :61 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :70 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :77 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :86 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :91 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :96 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.7 — bare :101 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1637 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1638 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1639 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1640 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1641 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1644 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1645 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1646 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1647 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/26-headroom-beads-spawn-brain.md:AB-26.9 — bare :1648 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.1 — ../project/agentbox/skills/comfyui/mcp-server/server.js:8188 past EOF (file has 725 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.5 — ../project/agentbox/flake.nix:1939 is blank
  ! agentbox/27-media-gpu-capability-services.md:AB-27.5 — ../project/agentbox/flake.nix:8888 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.6 — ../project/agentbox/flake.nix:8080 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.7 — ../project/agentbox/agentbox.sh:8444 past EOF (file has 2130 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.7 — ../project/agentbox/agentbox.sh:8971 past EOF (file has 2130 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.7 — ../project/agentbox/agentbox.sh:8444 past EOF (file has 2130 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.7 — ../project/agentbox/agentbox.sh:8443 past EOF (file has 2130 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.9 — ../project/agentbox/skills/lichtfeld-studio/SKILL.md:45677 past EOF (file has 97 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/flake.nix:8188 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/flake.nix:9877 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/flake.nix:9876 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/flake.nix:1939 is blank
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/flake.nix:8888 past EOF (file has 3828 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/gui-tools-sidecar/supervisord.conf:9876 past EOF (file has 57 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/gui-tools-sidecar/supervisord.conf:9877 past EOF (file has 57 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/gui-tools-sidecar/supervisord.conf:8444 past EOF (file has 57 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/gui-tools-sidecar/supervisord.conf:8443 past EOF (file has 57 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.10 — ../project/agentbox/gui-tools-sidecar/supervisord.conf:9093 past EOF (file has 57 lines)
  ! agentbox/27-media-gpu-capability-services.md:AB-27.12 — bare :2 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/28-agentbox-services-and-manifest-binary.md:AB-28.3 — ../project/agentbox/agentbox.toml:861 is blank
  ! agentbox/28-agentbox-services-and-manifest-binary.md:AB-28.3 — ../project/agentbox/agentbox.toml:867 is blank
  ! agentbox/28-agentbox-services-and-manifest-binary.md:AB-28.3 — ../project/agentbox/agentbox.toml:873 is blank
  ! agentbox/28-agentbox-services-and-manifest-binary.md:AB-28.6 — ../project/agentbox/flake.nix:2112 is blank
  ! agentbox/29-metaharness-router-console.md:AB-29.3 — ../project/agentbox/config/harness-wrappers/router.sh:50 is blank
  ! agentbox/30-supporting-services-secret-backup-setup-https-bridge.md:AB-30.2 — ../project/agentbox/setup/server/src/main.rs:0 is blank
  ! agentbox/30-supporting-services-secret-backup-setup-https-bridge.md:AB-30.3 — ../project/agentbox/setup/server/src/main.rs:9090 past EOF (file has 265 lines)
